id,name,element,card_type,cost,effect_text,value_components,absolute_value,reference_creature_count,reference_assumption,target_value,value_error,value_ratio,tempo_damage_1,tempo_damage_3,tempo_damage_5,role
NS001,First Sprout,Nature,Spell,1,"Add 2 Seed Elves (1/1 Nature Elf, cost 0) to your hand.",Create 2 Seed Elves; card-generation delay,3.0,0,1.5 each ×2; cards must still be played,3.0,0.0,1.0,0,0,0,Swarm seed / hand generation
NS002,Grove Muster,Nature,Spell,2,"Spawn 2 Elder Saplings (2/2, cost 0 Creature/Sapling) on empty friendly board slots.",Spawn 2 Elder Saplings,6.0,0,2/2 token = 3.0 raw stat value each; 6.0 total,5.5,0.5,1.091,0,0,0,Early swarm / token board
NS003,Protective Canopy,Nature,Spell,1,Give up to 3 friendly creatures Shell 2 for 2 turns.,Shell 2 ×3 for 2 turns,3.0,0,Conservative team-protection budget,3.0,0.0,1.0,0,0,0,Temporary protection
NS004,Nurturing Touch,Nature,Spell,1,Give a friendly creature +2 ATK / +2 HP permanently.,Permanent +2/+2,3.0,0,+2 ATK + 0.5×2 HP = 3.0 raw value,3.0,0.0,1.0,0,0,0,Single-target empowerment
NS005,Thorn Volley,Nature,Spell,2,Deal damage to any target equal to the number of friendly creatures you control.,Damage = friendly creature count,5.5,5,Reference state: 5 friendly creatures; +0.5 flexibility premium,5.5,0.0,1.0,0,0,0,Swarm payoff / flexible removal
NS006,Spore Cloud,Nature,Spell,3,Create 2 Spore tokens (0 ATK / 1 HP) on empty opponent board slots. Each Spore permanently reduces the ATK of a random friendly unit of its controller by 1 at the end of that controller's turn.,2 Spores + repeated -1 ATK attrition,7.0,0,Reference: both Spores survive and trigger ~2 times; 0.5 body + attrition value per trigger,8.0,-1.0,0.875,0,0,0,Board clog / attrition
NS007,Elf Chorus,Nature,Spell,3,Give all friendly Elves +1 ATK permanently.,Elf-wide +1 ATK,7.0,6,Reference state: 6 friendly Elves; permanent team buff premium included,8.0,-1.0,0.875,0,0,0,Tribal payoff
NS008,Verdant Surge,Nature,Spell,4,Create 3 Seed Elves. Then give all friendly creatures +1 HP permanently.,Spawn 3 Elves; Team +1 HP,8.0,7,Reference: 7 friendly creatures after spawning the 3 Elves,10.0,-2.0,0.8,0,0,0,Wide-board development
NS009,Canopy of Ages,Nature,Spell,5,Give all friendly creatures Shell 2 for 2 turns and restore 5 player HP.,Team Shell 2 ×2 turns; Heal 5,10.5,0,Conservative reference for a mid/late board; protection value is context-dependent,12.0,-1.5,0.875,0,0,0,Mid/late stabilization
NS010,Forest Armada,Nature,Spell,6,"Create 4 Seed Elves. If you control at least 6 creatures after resolving this spell, give all friendly creatures +1 ATK permanently.",Spawn 4 Elves; conditional team +1 ATK,14.0,8,Reference: 8 friendly creatures after spawning 4; condition satisfied,14.0,0.0,1.0,0,0,0,Wide-board payoff
NS011,Wildheart Strike,Nature,Spell,7,Deal damage to any target equal to twice the number of friendly creatures you control.,Damage = 2 × creature count,16.0,8,Reference state: 8 friendly creatures,16.0,0.0,1.0,0,0,0,Large swarm finisher
NS012,Worldroot Ascension,Nature,Spell,10,Give all friendly creatures +3 ATK / +3 HP permanently. Then create 4 Seed Elves.,Team +3/+3; Spawn 4 Elves,24.0,4,Reference state: 4 existing friendly creatures before casting; value is strongly board-dependent,22.0,2.0,1.091,0,0,0,Ultimate swarm bomb
